Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
HCC1419,Breast Cancer,0.2390933084,6.115199749
COV362,Ovarian Cancer,-0.004195108797,4.236492618
EWS502,Bone Cancer,-0.5679428306,5.258141996
SNU840,Ovarian Cancer,0.04659062404,5.416164165
KP2,Pancreatic Cancer,0.003803532464,4.319039816
A1207,Brain Cancer,0.318088864,5.280213996
BT549,Breast Cancer,-0.1219706936,4.117695043
NCIH209,Lung Cancer,-0.1954320608,6.057883449
OV90,Ovarian Cancer,-0.5040526788,4.486714373
NCIH841,Lung Cancer,-0.5845367784,5.299391206
NB4,Leukemia,0.04072660206,4.952333566
OUMS23,Colon/Colorectal Cancer,0.1666248804,4.872336288
HNT34,Leukemia,-0.277222536,5.21490191
SLR25,Kidney Cancer,-0.532387149,3.524815928
LAMA84,Leukemia,-0.2318355368,4.810957159
SLR24,Kidney Cancer,-0.05385319899,4.122672719
CORL105,Lung Cancer,-0.08982348036,4.710944155
UACC893,Breast Cancer,-0.9144581604,4.498889087
HPAC,Pancreatic Cancer,-0.09799512278,4.933572638
AU565,Breast Cancer,-0.5099173253,6.956985925
CL11,Colon/Colorectal Cancer,-0.0223595999,4.831370588
KMRC20,Kidney Cancer,-0.3139779075,4.634593268
NCIH2887,Lung Cancer,-0.3372634588,5.187846909
COLO201,Colon/Colorectal Cancer,-0.6979253201,5.622930351
LMSU,Gastric Cancer,-0.08549634967,4.797012978
COV318,Ovarian Cancer,-0.5311443903,4.614709844
CORL279,Lung Cancer,-0.3455101946,5.980482356
DU4475,Breast Cancer,0.1638744282,5.13422094
KELLY,Neuroblastoma,-0.6252847055,5.978653265
SKNAS,Neuroblastoma,-0.09688146744,5.980482356
RERFLCAI,Lung Cancer,-0.3543597781,4.792855352
UOK101,Kidney Cancer,0.07697384102,4.906409617
KASUMI1,Leukemia,-0.7569493866,5.837186385
CALU6,Lung Cancer,-0.1406524025,4.546585829
KP4,Pancreatic Cancer,-0.7197672674,5.739848103
AM38,Brain Cancer,0.1975869836,4.682011391
SUDHL10,Lymphoma,-0.2813643064,5.393347551
BT12,Rhabdoid,-0.5324560056,4.512858954
OSRC2,Kidney Cancer,-0.09192222679,5.121429909
A4FUK,Lymphoma,-0.003343673256,5.359661722
PLB985,Leukemia,-0.2299694596,4.658211483
NCIH1650,Lung Cancer,-0.3585776866,5.021923839
U343,Brain Cancer,0.1036974294,4.71918344
SKNMC,Bone Cancer,-0.2347676405,5.584661908
RDES,Bone Cancer,-0.09037831863,5.92552477
PANC0203,Pancreatic Cancer,0.04959547102,5.231125158
MDAMB134VI,Breast Cancer,-0.794125576,5.081083929
MV411,Leukemia,-0.3587521622,4.537296067
ACHN,Kidney Cancer,-0.02270708057,4.879215637
TOV112D,Ovarian Cancer,-0.7812888934,5.933572638
HEKTE,Engineered,-0.1327079201,4.618238656
A673,Bone Cancer,-0.2305246027,5.571069998
HT1080,Sarcoma,-0.02274126493,4.748461233
D283MED,Brain Cancer,0.04797341347,6.033423002
OPM1,Myeloma,-0.3484783163,5.253989266
PANC1005,Pancreatic Cancer,-0.5448494549,5.399854674
RERFLCMS,Lung Cancer,-0.1231958577,5.016139703
PC14,Lung Cancer,-0.3263614837,4.714245518
OCIAML5,Leukemia,-0.3655339484,5.139142019
HCC827GR5,Lung Cancer,-0.3823587271,4.918386234
CH157MN,Brain Cancer,-0.04340723126,4.303050085
HL60,Leukemia,-0.8496569322,4.091699834
CACO2,Colon/Colorectal Cancer,-0.3623752579,4.669593751
HEL,Leukemia,-0.2682960913,5.003602237
HEL9217,Leukemia,-0.3267637328,5.532940288
MONOMAC6,Leukemia,-0.3440290854,5.725468513
LS513,Colon/Colorectal Cancer,-0.3133519438,4.331275267
A101D,Skin Cancer,-0.3290396648,4.255500733
C2BBE1,Colon/Colorectal Cancer,-0.1695789913,5.279842694
HCC827,Lung Cancer,-0.2366278112,4.766595162
HS294T,Skin Cancer,-0.1530966973,4.505255801
SLR21,Kidney Cancer,-0.3581496963,4.445594291
SKBR3,Breast Cancer,-0.5300939996,6.310158318
T24,Bladder Cancer,-0.2550840392,5.071247819
MCF7,Breast Cancer,0.006872065868,6.364922559
NCIH1693,Lung Cancer,-0.4169724911,5.045705065
PATU8988T,Pancreatic Cancer,-0.308794476,4.69265037
OPM2,Myeloma,-0.371685626,5.422569411
KPL1,Breast Cancer,-0.1272709072,6.172327492
SNU5,Gastric Cancer,-0.1561930347,4.90014226
HCC4006,Lung Cancer,-0.1769025325,4.979110755
697,Leukemia,-0.2775735924,5.608809243
HUPT3,Pancreatic Cancer,-0.4741746124,5.480911346
NCIH2405,Lung Cancer,-0.308594444,5.444932049
COV434,Ovarian Cancer,-0.7447192011,4.630521963
SLR20,Kidney Cancer,0.05489870605,5.94673086
LN319,Brain Cancer,-0.06010956145,5.801417366
JHOS2,Ovarian Cancer,-0.2336906972,4.92552477
HS729,Fibroblast,0.03108195552,5.409730354
CFPAC1,Pancreatic Cancer,-0.1106490788,4.884109451
PANC0327,Pancreatic Cancer,-0.3288644093,4.200064862
PFEIFFER,Lymphoma,-1.002182058,6.132165525
CAL29,Bladder Cancer,-0.1125454924,4.395748328
HCC2429,Lung Cancer,-0.1013826092,5.681730355
T47D,Breast Cancer,-0.3250389562,5.406672716
HS578T,Breast Cancer,-0.05679615606,4.375039431
SKNSH,Neuroblastoma,-0.1243646462,5.605257263
M059K,Brain Cancer,-0.5446596632,4.336997417
NCIH2052,Lung Cancer,-0.05500069757,5.518849829
EFM192A,Breast Cancer,-0.1668243955,4.266036894
HS683,Brain Cancer,-0.4219537719,5.059614856
VCAP,Prostate Cancer,-0.5478636927,5.443275112
OCIAML2,Leukemia,-0.4240988429,5.08491466
U87MG,Brain Cancer,-0.06588007245,4.665620164
ACCMESO1,Lung Cancer,-0.5873349106,3.217230716
SKES1,Bone Cancer,-0.3327448121,5.689578726
PC3,Prostate Cancer,-0.2223331281,4.397802962
NCIH2452,Lung Cancer,-0.2191188687,4.816599707
PANC0504,Pancreatic Cancer,-0.3506833078,4.831370588
HPAFII,Pancreatic Cancer,-0.146768789,4.395748328
D341,Brain Cancer,-0.3065957717,5.203984166
G401,Rhabdoid,-0.2457370866,5.740118043
ZR751,Breast Cancer,-0.6706050545,5.377817853
GAMG,Brain Cancer,-0.7134768482,4.814037648
RH41,Sarcoma,-0.3802989026,5.284662185
CAOV4,Ovarian Cancer,-0.4322164034,5.222263604
KP3,Pancreatic Cancer,-0.3785585338,4.74092756
NCIH3255,Lung Cancer,-0.08140821916,5.224194664
NCCSTCK140,Gastric Cancer,-0.3126917649,5.568944145
HCC1187,Breast Cancer,-0.4699233145,5.245267467
SU8686,Pancreatic Cancer,-0.2705585637,4.705425039
ECGI10,Esophageal Cancer,-0.01189360133,4.852498299
SS1A,Sarcoma,-0.5088635516,
EFO21,Ovarian Cancer,-0.1563038011,4.442280035
PK1,Pancreatic Cancer,-0.2964815734,4.481557281
CORL88,Lung Cancer,-0.239494092,5.92552477
NCIH1299,Lung Cancer,-0.244031389,4.974988112
OCIMY7,Myeloma,-0.272659233,4.452858965
